4 100000
zzzccacbbab bcbbbaba aaaacac caaabca
zzzba caab ac aaccac
zzzbcbabba abb abbab aaacccb
aabbb zzzacccaca aaccbab bcaa
ab zzzaacbb bbcbb baca
aba cbabaac bacca zzzaabac
zzzbaabcaa aacbcab ccbcb acc
acccaaca abbcbc babca zzzbbaac
aabcaac zzzcacccca abcacb baccbcca
acbcaaac cca zzzbac ac
zzzbb accaa ac cccaaccb
abaa zzzaca bca cbc
cbccaab zzzacbca bcaa abacb
cbccbac ccabbaac zzzcbcaacba bbcbb
zzzbcbcbb ac bbbbbb bbabac
bbb bb zzzcc bccbcac
abca zzzbbcbb baab babca
zzzabab bc bbac abacb
aaaaccbb zzzcbaaccaa ccbcbcac bbab
acbba aca bc zzzcbbab
aabbabc bacaab bbbb zzzbccb
abcabcba cac bba zzzccc
zzzabab baab cccb bb
ac zzzcb aaa bc
zzzcbcc cacccbc acaa baababa
zzzccab aaacac abbbbba cbbb
zzzbbbccbba bccbaaab aabba ccbcc
ca bbbbbb bac zzzbc
bc zzzbbcbcabb bbabbccb bbacabba
aaabccb zzzabcbab cabcbc cacbbaca
bcaccacb cabbbbab cacab zzzaccbc
bbccac zzzabbacb bbbcb bbab
cabcbaca ccaabc zzzacccb bbcba
cc zzzaac baa caaacb
cbbc babccaca zzzcbbccabc ac
zzzacccb babcc cbcbb cbbaab
zzzbcba cbc acac ccbaca
ccb bacabccb aaca zzzcbb
zzzcacbcbbc bccb cba cbbaccac
ca zzzcc bb bababcb
babcaaac ab zzzcbacbcba bcbc
zzzcba bcb bcacacb aaccba
zzzccaaa baaa bbccc acaccccc
acbbcbac baa zzzbbbbbcca aabbaa
cabab ccababac bac zzzaacbabbb
bccba cb abcbca zzzac
zzzbabb ccbacbc bcac abcb
bcac zzzbbaa bbaacaac abaac
zzzacaaacc accbbcc cbcbccbb aa
zzzbbbc ccaaabac cbab cc
zzzbabcc ccbca ccabbacb cab
cbcbcbcc acc ca zzzcabbaccb
aba zzzcbc abab acc
bcbac zzzcb bc bba
cb zzzcaaa aab bbba
bbcacbb accccaba abcbab zzzbccabba
zzzcaabac aa cbbbab aaccaaa
zzzabbabaaa aaabccac bbbc bbcccbcc
zzzcabbbba cccabcc bbcbbab bccb
aabbb babacc bbaaacca zzzaacaccbb
zzzbbc cacbaa aac ccbbbaa
abbbbbb cbcbc zzzccbabab cbbbbbbc
aacaca ccacba zzzcbcacc babcbc
bbab zzzcabbba acabbc babbbb
abbacb zzzacccbba aaca babaaab
cbca cacbbc zzzbbbcba cbaa
zzzbc ba aa aac
cccc ccbbaaca baab zzzbbab
bcaab bac zzzabbcb acccacbc
zzzbcbbacb bcac caaacba bab
cc zzzab bccb cc
baac zzzaacc ccab cc
bcccc baca ccababa zzzbbcccba
acbacbaa cccbcab cccaca zzzabaacacc
aaaaccab abca zzzca cb
zzzaaac bcaaac accbbbac bccb
aba cabbabc zzzabb acaaaac
cabcbcca cabcccb zzzcacccaa bcccaac
cbabbbbc aaaaa zzzaccab ca
caababaa aa zzzba ccbaacba
aacbbc ba zzzccb aab
ccb aabac aabab zzzbbcac
bc aca cbcacccb zzzbba
bbaab zzzcbaab acbaaca accbbc
baaac abac zzzcabac ccbacc
babbba aabc accaabac zzzbacbab
zzzbc bcaacb cacacb cc
acca bcb zzzaabb acca
zzzcba bc aabacbbc bbc
cbaacb zzzbcbbba acb acbbc
bccc cbccb zzzaaaa ccaaaaa
bacc babba cab zzzacc
ab ab zzzca baabbbc
bc zzzabccaaab abbacccc caabcbab
acaabbcc ccbb ba zzzbcaa
abab bbbbb zzzbcab bbc
aabcc zzzbacbb acc babbb
zzzcaba aacc bcbacbc cbcca
zzzbc ba cc acaacb
cc cbcbaba aacaacb zzzccbbcaa
abc ac zzzac baacc
acbc zzzca ba cabbccc
caccaaaa bbbab aaca zzzbbabb
cacbc abacba zzzbacbb cbc
baaa bcab zzzaaaa aaccaca
cc bcac zzzcbaa cacbbabc
bab aaac zzzbaba cabc
zzzab ccbbb ccacbbcb ba
bacabca zzzaaabaab baabccca cacbacca
zzzccb acaa acb cbcaba
abbcbcba zzzbaac cbaa ac
caaabbb bba ccc zzzaca
zzzba ab bcbbbcc aaba
abcacacb baaaaacb zzzaabaabba cbcbac
zzzbca bb cca cac
cbabaacc cbc zzzaba bcb
ba zzzaabba cabaa bbbbbca
acabaca bbaa zzzbbba aa
cca bbbbcc zzzbac abab
ccccb zzzabcac aabbcacc bbc
cccccaaa cca ac zzzbbb
ab zzzacaa abca cabc
zzzbb abba ab baba
ccc bbcba zzzcac acabbbaa
ccaabab zzzcbaacca ccbbb bbcaa
bacbbac zzzaaaabb ababbc babcbccc
bcbabb zzzaabbba ac bb
ab bbabbbc zzzbb ccaaa
babaa aaac aa zzzcc
zzzcaaaaa bcabaa ccbac ccbbccbc
zzzbacaaccb bcaccaac aabcbbbc ba
zzzabbccb bcbabc acbaa bbb
cbcc aababcb abcbcbac zzzacacabbc
aabc abaa zzzbaca aabccbca
cbccbcab accacaac zzzbbabc cbcca
ccbbaab cccbbc bbacbbb zzzbbcbabb
bacaccab bcbc zzzaac ccc
accabc caaccaa zzzabccaa aaabbc
bbcaa bb zzzcaaab cbabaa
zzzbbaabc cb ccaabb ccbaac
cac zzzaac bb bbc
cccaacac aabba zzzccba cbcb
bcc bc zzzbb ab
abbccbb caaccba caaccb zzzacaabb
bcababaa baac zzzcbcb acb
bcb aaba aababa zzzcbca
acbac cab zzzaccba bbaca
zzzcaabaa bacbacba caccba baabb
cbbb zzzacac ab bcabbaac
zzzccb cbcaa cccca aac
cacca abbb zzzbbbba bc
ba zzzbbcbb aacbcbbc abccb
baa acbbcaa zzzaac bcbc
ba bcbb bcbbb zzzbabb
caa ba cccbacc zzzbca
bcaa zzzba ba aaabc
bcacaaa zzzcaabaac cabbbb bcaca
zzzcb cababcbb cabacaca ac
zzzba ba babc accbb
ccccb zzzcaba bcbcbc cbab
abb bc bac zzzacc
abccbaca zzzabb bca cc
cbccbaca cbcb zzzaabbbaac ba
cbccbaca zzzabccaa caa bbaaac
aaacc zzzcbabaac bacbbba bbabc
bcabca zzzbbcbbc bbba bbbb
abacab zzzca cabccc cc
accbcac zzzaabbccc cbbabbb acaabccb
zzzaba bab acb aca
acca cbacacb zzzbaccbab cabcabcb
bbb acca abccba zzzabb
aacaa cbccc acc zzzcaccb
cb cbcc cbcacccc zzzcbca
zzzbabbccca bcbccaaa caaa cbaacba
cabc zzzccbb aac bcba
zzzacacccc acc ccaaccb bbabca
cabbb zzzababb abcacb aaacaca
acacb zzzacbb bbbc ca
abc zzzaba aaccccc bca
zzzbab bbc aabaac cccbbb
zzzcabccca baabaaa bc ccbbcccb
bbbabc ca abab zzzabbbbb
bacabc abbcc zzzaaaaca abb
zzzababbaca aabcabcb bc bbcabaac
ccac bbacbcbc zzzaa ac
caa babccc cab zzzcaa
cbacc ccbacc zzzbaaac acbaa
bbabba aabacba zzzccaccc cabbca
babcabbc babbccba zzzbaccacbb abac
ba ac zzzcc abccb
aa bcc ba zzzcb
zzzcacba aabca cb acaaabbb
ccaacaa zzzbcccacc cbcaabca ccab
babb bccbc zzzcacbb ac
bc acacca bca zzzac
zzzabacb aaccb aabac cba
aab bbbb acaabbcb zzzabbcccab
acabcc acba zzzbcaaab ccac
acba baabbcc acbcc zzzaccbb
cbcaaab ab zzzccabcca bccabc
caa cb zzzcc aba
bac abbccb zzzacbcac bcaaaaaa
zzzcccba aba abbbc aa
bbaabb cacaaa zzzcbaccaba cabcbbca
zzzbabcbab caccaab babbc bb
cc baccbba zzzbccccaa bcbbab
zzzbccbbc cccbccb bcccbabc acbcaa
bcaaccc cbb aabba zzzbcb
bac ca zzzbb ab
abcaaacc zzzacbcbcca bcb aac
cccbb zzzbbacb caacb cabcca
bbcacc baaccca zzzcbc cbb
zzzcc bc abcababa ca
caacb babcaca caaabbc zzzaabca
bbcaacab cca ba zzzcaa
bcabaccb bb ccaccaba zzzaa
zzzabacccc bccbabc bbcac ab
baac bacbac bccaacb zzzbbccca
aacb zzzba cb ccabba
zzzaabcbcbc aabccba abcbccac cbbcc
aaaccbaa bbcabaa zzzbccaabc acccccbb
bcca bbcca zzzccbc cbcc
zzzaa cb cb bcbc
ccc bbababc zzzccbcacc acacab
ccbaa acbaacc zzzaccab cacabcc
zzzcacaa ba bbbba babcc
cabaa zzzbcaa caccaa baca
zzzbbbbca acbbcb abcbcb cbab
ccab zzzacbbb ccca bcbbc
ba cca zzzcb ac
ccca ba zzzac cbbaab
bca bbcbab zzzcacbbaa bbacaaa
zzzbccbbb accacaab ababc cbbccc
bbab acabcacc zzzbbbaccac ca
cbcb cc zzzccccccac bcccbbba
accca baaacbc zzzaab cca
aab cb zzzaba bbaba
zzzabbabb aaabbb cabbbc acabcb
zzzababbca cc baacbabb cccabac
zzzacabaac ccbcbcc cbccbacb cabcccb
zzzccbc cbba aacaaaab abbb
abcbcb cabccac zzzabb bbc
cbcbbcac bb acba zzzcbcb
acbba aabcbbc zzzacaac bcbaabcb
ccc bacc zzzbbc acab
zzzccabab bcbaac cacccb ccc
acabcb bccbaab cccb zzzbcbb
ccaacaa cbba zzzbcbbaca cccbb
aba aabaaaa caba zzzacb
zzzaaca ab cabc cbcaa
cababac zzzccccbbb ccabbacb aacbac
zzzccaabbaa baacccc cbabaaaa cb
ccaab abccbbbb zzzaccaa cca
bcc zzzccaacc babbba cbabcccc
cbcc zzzcab caab bbc
ca zzzcccbbc aa abcaba
bac zzzbab cbb bcccabab
bcbc bbba zzzcacbabca bbbacbcc
cba zzzcbbcab cabbbcbc babbaa
zzzcbbaba caabcaac bbbabb bcccaa
bcca cbab zzzcbcbaaaa cccbacbc
cacaa bbaaa bbb zzzbbbba
bb cacbca zzzbcbaab cc
aa ccbaa acbbba zzzcaacca
cabaacca abacaa baa zzzcccbcb
aca zzzcab bcc ccabbb
abcba abcbcb zzzaccbc acaa
ccaabc zzzbac baabcba bac
baa zzzbab caccba bcbaaacc
bba zzzbbb aacb cbacbac
cbb acabbb zzzbabcaa cccacc
bcca bbcc zzzacca bbac
zzzac aa cbabbaa baccaaca
babac acb zzzabcbc bcaa
aa zzzccc ba bbb
abb aa zzzbbb acb
zzzabbccccb bcbbacac abaacbb ccbacca
zzzbacc cbba aabc ccaab
abacaaa cbcbcbc zzzacb aca
zzzaabbccbb ccbcccc bb abcaaaca
zzzca bc cc bcbba
abaacb abbcabca cbabca zzzabbbbb
aab zzzccb aaabcc bbcbbbb
zzzbc ba cc bc
ccbccb zzzcaaaba cbab acbb
zzzbcb cccbb ccb ccbcb
aa abcac bcbaccbb zzzca
zzzacc acaaabb ccc acb
zzzcaccc accbccc bcccc caa
zzzabcabcac ac babbcbbb cabbcc
bbbabcc cacabc ba zzzbb
zzzcbabacb bcabccbb bcbbbcb ac
bbacacc bbcabb zzzbbbbcbab caacbcbb
aaa bbbcacbb zzzaab bcb
zzzcaaccaab bbcbaacb caa babcb
zzzbccbbacc abbbabba aaaca cbac
ccc caac zzzbacb bbcbcb
bcc bcbb zzzcbb bbbacba
zzzbabcbb abacab baccbb cbaba
zzzbcbaa abccc cbac cbbbcab
bcccc bc zzzba bc
bccb zzzbcba bcaabaac bcbcabc
zzzabba cbaac cbac babcccc
aaabacba ac zzzbaaaccba aacccbba
zzzccb cbb ca bbbcaccb
babc zzzbab caa ca
bcaaaa zzzbcbcab ccbaaa ca
ccbbab abccbaba cccc zzzccbbaa
zzzbcccbb cbab cbbccaca bacccb
abacb acca zzzbaccabc accacac
baa abcaca ccac zzzcbc
aa zzzcccbca cbcbaa ba
cabbbab acbc bacc zzzaacc
ba bcbc bacbb zzzbcbbc
zzzabbcb ba bcacc bc
ab bcac zzzacab caaa
bbcbabc ac zzzba cb
zzzaabbbaa aabbbcaa bc ccabcaa
zzzbc ccaaa ccaaa cb
aabbc baabaa zzzbbabb ababc
zzzcbcabaa acabccc cabbcbaa cababacc
cbbaabca ab zzzbbaca bcbaa
bba cbcaac zzzbbb cacccabb
abbbaaa acba zzzcbcabaac bbbabbaa
bcaaccb cacc zzzbabaaca bbab
ba zzzabccaaac cbbababc cbca
abcbc zzzabbaa cacca caacb
bcacbbbc abbaabba cb zzzbcacacaa
cccb cc ccabccab zzzba
acab zzzcc bbccabc aa
zzzccccca acaaaa cb abca
ab bcabb cbabbb zzzccbca
cbababab zzzabbbccca bbbabb aababbab
bba aaabba bcbc zzzcbbb
babaca zzzbcaacc cbbabccc ccacacbb
zzzaacab acbbbaac bbccb bcbaaa
acaba babc cbaa zzzaacb
aca bcacac zzzaa ba
zzzccbaaab abacabaa bcaa abbccba
zzzacbba cbccc cbaaaaac bcabaaca
ccacaacb aaca cbbbc zzzbbbabccb
caacccc caaccbbb zzzaabc caaa
cb cb bbbbcc zzzaa
bbaaa cc aa zzzcc
bbacbbc zzzaaaaaac cbaabba ccbbca
aaa baabca zzzabb aab
aabacab bbbc zzzcbbcabac cbccabcb
bca bbccbb zzzbaccac aaa
bbac cabacb zzzcabaab aacaaa
cc aaaac bca zzzcccba
ccb zzzcbb aaabbaa caaccaa
cacaa cacbbcb zzzcacbc acca
acccab zzzcaacbbba bbbabbba bcbbacbc
ccb bcbccb ccb zzzcaa
babb abb zzzcab cbc
cbcaba cc zzzbacbac bbbabbbb
acacc ccca zzzbccc baaaaac
acbbbcb ccabc zzzcacccac cb
acbabaac zzzccabacc aabb ccacaba
bb zzzbac ca bac
cbcc aacb zzzbbaa accacccb
cacac zzzaaaaaa bbbbac caa
bcbabba abbabba zzzcccabbc ccccab
acaca acabb bcc zzzbab
zzzccacb bcbcbc accbacb aaaba
cbacbccc bbb aa zzzaaabcbba
cccca cca bbaacc zzzbbb
bbccca acaccc ccbbc zzzbaabb
bbb bbb aa zzzcb
zzzaabab baacb ca ababaa
ccbccbb ccaccbba zzzccbabbb aacaaccc
abc zzzcbc abbcc bba
bbbaa bbbaba zzzacbcac baaca
cabaaca zzzaacbbac ccbcca ab
aa zzzbcccb bbc ccbac
babaaab zzzbbacaac cbcccb bbabbab
acb zzzcabccaa bbb acbbcaa
cbba aacbaca ac zzzcc
bbb acaccba zzzabaabcc baccbbca
zzzacbc ababcbab bbaa cba
zzzcbcbbbab aaccbba bbc bcccbabc
abbcb zzzbcaa abac cbab
baa aa bbb zzzbb
abaabbbb ac zzzbb acacca
zzzbbbc aacbbb ccbb cbbc
bbbbccca zzzabca bcabcaa bcaa
aabcba bac ac zzzbcb
caa bccacabc zzzaabccaac bcacc
ccbcbb cacaacb caacb zzzbbcbb
bbaccbb abbbabcc zzzaaabbba bccacac
abbcccc bca zzzbaabc caaba
cbcbcba cbbab bbbbacac zzzabbcb
cb zzzcc abbbbccc babcabcb
accccb zzzaccbbb accbcc ba
cccabcbb caaac zzzaabab bcbc
zzzccabaaca bbbaacaa bbbb cb
zzzaac aaaaaa bcabacb aba
ba zzzababc abacc aaa
ccaab zzzabaaccac ccccacca cbcba
acbacac baac bcabbcaa zzzabbabba
bbc ccbc zzzccaca acccc
bac accaaca zzzcbacbca cacbab
abaaca zzzaaaccc acaaacba baabcbaa
caab zzzabcba ccccabcb cbcaa
bcbb aab bbccb zzzacba
bcbbacc abcb aaaaa zzzbbcabaa
zzzcab bccacbc bcbaab abc
cb ccb zzzaca abbbbaa
cca cbaaaaa acbacb zzzcacabcc
bcb bcccb ccbcba zzzcabaa
babaaba babbcc zzzcabaab cbbaac
ccacbcca acabbbaa zzzacbaabac abbcbcbc
bccaaa abb zzzbbbbc bbbac
acabcbaa zzzbcc bca aabca
zzzbac acbaa cca cbccca
zzzaa bcbcc ccaabaaa ab
abab bccbcb zzzcccbaab aaacaab
abbbbcb ccacbaab zzzbabbcbc aaa
bbb zzzbcb bbab bcacb
aacbbc zzzccbc cbcaac ccaa
aa aabccba ababc zzzacaabcb
acb aac zzzcaccbc babaaa
ccabbb ac baaa zzzacabbc
zzzbabaabbb aacabcaa cbcaccab bacbccab
abaccbbb bbbbba zzzcbaaaa aaa
zzzbaacabbb bbacbaab aaaaccc baabaaa
bc cc baccac zzzcc
zzzccbca caacc abcca aba
abbcc zzzcbc abc cac
cabbabb accaca cccab zzzbcacbca
zzzccabab bcbbbaa aabacb abcabbbc
bb zzzccbbbca cccbba baabaac
abbabaaa bbbca zzzabcacaba abb
bacbab zzzbaaacab acb abcbaab
cacb abcbca zzzacabcca aabccab
cbcbbb zzzabcacab ccabccc bc
bcca bab abcc zzzccbb
ccabbaac accbba zzzbaabaabc aab
aa zzzbaab baccaba abbb
ccb abbbcbca abaa zzzbbcc
acbaaba aba ba zzzbb
ccaa acab zzzbccc aacaaab
zzzaabacb abccac bcabc aacbaac
cbbbaabb zzzacacbc bcca bbbcbb
baabbaca ccaaaaba babbcb zzzacabacab
ca zzzaaa aaa abac
bb acaccc zzzcbcaba bbaba
aaaab caaaaa zzzaaaabb bb
babbaaaa bbba zzzaccc caab
bccc ccca zzzacbc cb
zzzbbcaaaa cc ba cacabaa
acc zzzbaacacc aaaabcc acb
zzzca ac ccaabc ccbacbc
aab aac ccba zzzbca
bcbba bb cbbaaa zzzbaabaa
aabcabca bca zzzabb bbc
bbaab abcbaa zzzcbabb cacac
zzzcacb babc acaabac bbcc
cccbcc zzzcbb acb baaba
cacbcccb cccacab baaaba zzzccaacca
ac bcb abbccab zzzbab
cbbbcab bcbaccbc bbaabccb zzzaaccaaa
bca ac zzzbac acac
acaa bacabbb bca zzzcbc
zzzbb bb cabca ca
babab zzzba aa ba
bccaaa accc zzzbabb abacb
aaccc bcaccc baacacb zzzcaacacc
cbbaacc zzzacbaabc cacacbb baacbca
bca cb cb zzzcbb
ababacac ccbaaa zzzcbcbba cbabbcb
zzzbbbbc ccccb aaaacc ccbab
zzzaaccb caacccbb caabb ac
bacaaaba cbcba zzzaaaaacca acbbabba
cba bcbabacc ab zzzbbb
zzzaba ba ac aab
zzzccabc ccabab acacc cabba
zzzbcabbb abaaabcb ccbabc bbcc
zzzcbaa cbbabc cbcb ab
zzzccac cccaccbc abca ab
abab bbbb aacb zzzacaa
cbcc zzzabbb bba caaacca
bbbca zzzcccab bcba bacbcb
aac zzzcca ccc cba
abcccbba caaaab cbcc zzzccbb
abbaba bbbbba zzzbcb bbb
aabba zzzbbba cbac bbca
babac bac zzzcb ac
ac zzzbbaaabac aabaaccc babbbcba
zzzaccbacb abba acabbaa bbccaab
abaaa caa cbb zzzaabcb
zzzaab cbaaabba cbb abaca
bbcbaa cbaaac zzzccb aaa
ccbb acaabccb cbcbb zzzcabca
zzzcbcb bb cca aaca
zzzcacbc ccbba bbacc aaaca
bb zzzac bcbb bc
abb zzzaac bbbcbcca cbaba
cbcbcbc abaa zzzaabbbba aac
zzzaaabbc abbcba baabbccb cbbcaa
cccacbb zzzcbbbcbb cbbac accbaacb
accb zzzac cb bb
ccbabc zzzbcbbba ccbcb bc
babcb bbcbab zzzaabab abbc
zzzbcacccc bbaacabb cbaabbb baacbcc
aba cbcba zzzaaaab bcbccbb
acabac ccb bbac zzzbbac
abbaac bbaaacba aaccabaa zzzaaacab
bcacabc abaaccca zzzcabacac bcccb
ccccb babcb zzzbbbaaa accbcc
aa cbaccac aa zzzcb
zzzbbbc caac cbb aabcb
bccbc cccab aaba zzzcbcb
zzzac bc aa ccacbccb
baccbb aabbbab zzzbbaaaba cacaa
ab bbbaabcc zzzcb ababbaa
babbb ccaa zzzbc ac
cbba zzzbc abacbab bc
zzzbbcbbaa accc bbbbcab bababcc
bcbc cbccbcba zzzaacab aaccc
baaa zzzcac bbc bc
ccbc accbb zzzcacc ccacc
bcbbcc zzzaccc baba baaaaabc
bcaca aa bc zzzba
bbcaa zzzaaabcacb abaac aacacaac
ac bcbbbb bcbca zzzacbcca
baabcab zzzbaccacc bccab acaacbca
cababcb babbbab cccaab zzzcacbac
abb acc zzzaca abbc
cbb aac zzzaabccbcc bcabbacc
ccaabcaa aabccabb zzzabacbacc bc
abbbaccb zzzaac baa cacbbb
zzzabccba acacaa bcbb aabccaca
bb ccaaacc zzzcaabbca caaa
aabbaaab ca bcc zzzca
cbcbaa zzzbbcbca baaabaac ccacac
baa zzzbac bbbab bbcbb
bcbca zzzcbcbcbcc babaacaa ccaba
ba zzzcbabcba ccbbac abcbabb
caacab ccbcab zzzaaabbc ccbccaa
cbbab ccbbaabc zzzcbccbcaa cbbca
bbbbbaaa zzzccacbb abbcaaa aacacb
zzzcabbabb ccacc bbcbcb acbaaac
ccab zzzba bccac cb
aaca zzzcb aacbc ac
bccccb ccaa abcb zzzcccaaa
bbbc zzzbaab acacacc bccaba
zzzaaaa baccac accc baca
zzzccacb aaaab accbaa ccbccab
abaca ba abbbac zzzcc
zzzabbbcbbb aabcccac abbcaacb bbbcba
bcbac zzzac bb bc
bb zzzbbc baabcb aba
aacacb acccbbb zzzabcabb bbaccac
zzzcaaac abbaaab aacac aac
aabcac zzzcccaac ccaaccca abcccaac
aacbcbcc zzzabaaab cbcaaa aba
zzzabaaccac cbbcabcc ccbbcccc cbccbaba
zzzbcab bbab ca caa
cb cacbaaab zzzcccbab aacaba
ccbcbabc zzzcacab acbbb aaabcc
abab ab bab zzzbba
baab zzzaa ccaacc cc
abbcc cabac zzzcbbbc accccb
bccacac zzzcccbccc cbccc ccbaacbb
babcabb zzzbbbbbab ababbab bcaccc
ccbbbbac abacca zzzcbccaa aab
aacba ccacac zzzacbcb ccaaabcb
baca bbac aababcb zzzbcbc
zzzbcababc cb bc caaaccb
cc zzzccb ccacba cbc
cc zzzba bcac aca
zzzaaabb caaacb bba acccc
zzzcc ca ccbc accb
ccbcbccb cbacaca zzzcacccbca bb
cbababa ca zzzcc ab
zzzbccba cacac cbbacbc bc
ccabacb abbacc cab zzzccbbbc
zzzbc bcb cb bbcca
aacac cbaaab zzzcbbaaa abab
acabbac zzzaabcbcbc abcbcbcc caaccbb
caccabca zzzcbcbacbb abaabba cbcaacbc
ccbcb acbbbb cccacab zzzaabcbba
acb cabac zzzba bb
ccc zzzcbca bbca bcccbb
baaccaaa caaac ca zzzcacabbcb
abcabb zzzba ac bcc
zzzbbcbc baaaa ccbb cbbcaa
zzzaaaca ccaaa accaa bc
zzzcbacac bccbcc aabab bbbab
aca zzzcab babbccab bbac
acababaa zzzabcccc baacac bbbcaa
ccac caaabbbc aaaaab zzzcaaabc
abaabb aaaa zzzbbcc aaaacba
ccc bcbcaaab zzzbab bccbab
caaac bbba zzzaab bca
ccacba bccaa babcc zzzbbbabb
cccbbbcb acbcbcb zzzbacabbaa ccacbb
cbb zzzab bbbaba ba
zzzaa abca ca ab
zzzaccac cba abc ccaca
bcba aa caaa zzzccbc
aacb zzzbccccbb baacbccb acabcaa
bbacac zzzacbbaca bccaca baaaaca
babb ccabcc ccabc zzzaacaab
zzzba cabbbc cc cbbcc
bbacabb cbaa bbac zzzbcbacba
ccbcca cac bcba zzzccbc
acbaaabc zzzaababcb cbccabc acb
bababbba abcab zzzbacbc cb
cccccaa abb ca zzzcca
zzzabba abcc babb bacb
aacbbcca zzzcaba acbb bcbacca
aaaacbba ccab aaac zzzbbbc
cbaaccbb zzzcab bb bbc
abbb abbbbbc cbb zzzbbc
zzzcababbb acacac baaabba acaaaa
accccba zzzbaccac cac cbcaba
bbbaa zzzabbcacb cacaaac abacaaa
abcb ccb ccccaaac zzzabacbcba
accbb zzzbb cc bc
bccabbab ba zzzba cacacaa
baabcca accc zzzabcbba ababca
ba zzzbc cbccc ac
ccaaacc cbcbabc zzzacbbaaa bcbababc
abbcb zzzbac ca cbb
bbb ccacabca abab zzzbbcbbcca
zzzacaaaa aa bbaccc caaaca
aba accccccb zzzca ca
ccc cbc cccac zzzbcc
aab zzzbbacbbc aacaaca aabbbbbc
zzzaaccabcc ccacbbaa cbbaacba baacaba
bcbcac zzzccc acaacc cbc
zzzaaaac acbac bc ba
bcbaab ccbaa aa zzzac
zzzbbcbcb bcbabca caaccabc babccb
bc aabb caac zzzbaca
baabccb zzzba babcbba aa
aa zzzccca abab bbacacaa
zzzab cbccc ac bccb
cacaccca cbbbccaa bcbcbac zzzaabcacb
abbaab bbabcb zzzbbacaba caaacbb
zzzbbbbac cacabba aaabac bccbb
cbaabcab zzzccaa babc bac
zzzacbab cabcacbb bbbca ccbbcb
zzzaaabb ccaccac abacbb cacbc
zzzabacc ca aaacb baa
aaabaa zzzab acb ba
caacc bbccccca zzzbbcaaaba bacbbbac
baabaa aaacaba zzzccccacc ba
bbcacac bbcbbbac zzzcccbcca babbc
cacbbaa aaacabc zzzcbbbabb abaa
bcccbaaa ab bbcba zzzac
bcccac bbcaa bcca zzzaacbba
zzzaacbaccb accbcbcc bb abb
bbaacbbc aacbacba cccab zzzaacacbbc
zzzaa ababa ba ab
bbbacccb bcbabcbc caaaabc zzzbccbcbba
bccc bbababcc zzzacbbbbba bcabbaba
bacaa acaba cccbaabc zzzbcccb
zzzba bc bccab bcbc
cbbc abbcaac zzzbccacc abbaac
acccaac zzzbcccbac ccaaab cbcbbba
bb zzzaaccacc cbaaacb bbcbbaa
zzzbbbcbb abbca abaaab bbccaacb
zzzcbbbaaaa ca aa accacbca
zzzcbaccc bacaacb cac abccbc
ab zzzab ba cb
zzzcacbcbab abcaaca baaacaba ac
ababbc zzzacacbcc bbbbb accbccb
abcbb abaaaca bc zzzcb
babcb ababca cba zzzcaacc
zzzabbbb cbbbc bbaa ac
abccc caaabbac bbaac zzzabccc
ab bccabb ba zzzaa
ccbbaac ac zzzbacccac baccc
ba acba zzzcc ccabcabb
zzzbcac bbbbca acbcb bcaa
zzzabbb cccb aabcbc baaa
zzzbabaa aacbc bb cbbc
accac bbaa zzzbacc abcaac
bab bbcbbca zzzbcaccca bbbbbac
ac ccbcab bcba zzzcc
cb zzzaa bc cacbc
zzzcaaabca abcabcc aabbb babcaa
bc abacc aacb zzzcbcab
bb zzzba abacaaac ab
bacca zzzbcbba baab babba
aba cbcaaab acab zzzabc
cabacbcb cabaab bbbccb zzzccbbbbba
bca zzzbc ab ab
zzzabcbaabc cbbbacbb cbbbbaba bbabc
acc zzzacbcabc accbcacc bcacaac
ccbbc ba ccaaaa zzzacbac
aca zzzbbabccb cc cbbbabb
babaabcb ccaaa zzzcbcaca baacca
aacbaac cbacc zzzbccacab baccb
bbcc bbbbcba zzzaaaabba bbacac
ccbb aabbaac bcc zzzbcba
bccbba caacbccb aabcccc zzzabccca
bbbbb ccacbb cabbcbb zzzcbabc
zzzbaabbccb bbcabbbc bbb cbab
abaa zzzcabb ca aca
cac zzzcb cbaabb aa
abbccc bcabcacb zzzcccbbbac acbbb
baa bcbbbabb aaabc zzzcbb
cbcabaa bbbc bab zzzccbc
abacaabb bb zzzacccaac babcbac
bcaccac ccaacacc ac zzzabbcbac
aac bcc ab zzzbc
bcacaaab zzzcbbbcbbc bbbbbb acbabaab
aba zzzccc aababbc cabaaaa
cbab bb zzzcc bbccc
bbccacc zzzcb aa ac
acccaac acca zzzbcac caabc
baabac bbcac zzzcbacab cbbcb
zzzcc babacbb aa baaaba
zzzcaaabbac cab ccccccca cbbaba
bbaabb abbbac aabccbb zzzbacacca
zzzabac acbc aaccb babbca
ac acaba ac zzzbaaaa
zzzcaacb babbc cacbcb aabba
baca bb zzzccac cababac
cbac bcaca ccbb zzzabaa
zzzacac bcbcaa aacb bb
bba zzzcbcbcb cbcbc bacbbb
abbbc caca aaaba zzzcbabc
zzzaa bbaac aa acccb
abbbbaa cacaacb zzzabacbab bbcabca
aacba abcbba zzzbbbaaa abc
acacb zzzccbabcb ccaaaaa abcbba
cb baacaa cab zzzbcbbab
zzzcacccca aabab cac cabbaab
zzzccbabcb bcacac ab aabbcaa
aaabccbc ccc zzzacbbbaac accccc
cab aaccaba zzzcaabcab cccbbca
cacca abb cacacab zzzcabbbba
